purchase_id,customer_id,purchase_type,book_id,merchandise_item_id,event_id,quantity,order_type,status,purchased_on,original_unit_price,price_paid,discount_applied,points_earned,receipt_number
PUR-001,CUST-002,Event Ticket,,,EVENT-009,3,In-store,Completed,2026-06-23T16:45:00-04:00,0.00,0.00,0.00,3,R-20260623-001
PUR-002,CUST-012,Event Ticket,,,EVENT-014,3,Pre-order,Pending,2026-07-31T14:45:00-04:00,0.00,0.00,0.00,0,R-20260731-002
PUR-003,CUST-021,Merchandise,,MERCH-011,,2,In-store,Completed,2026-08-03T13:45:00-04:00,24.40,46.73,5.00,2,R-20260803-003
PUR-004,CUST-003,Book,BOOK-021,,,2,In-store,Completed,2026-07-22T17:00:00-04:00,34.05,67.19,5.00,2,R-20260722-004
PUR-005,CUST-030,Book,BOOK-013,,,3,In-store,Completed,2026-08-03T16:00:00-04:00,18.29,58.16,0.00,3,R-20260803-005
PUR-006,CUST-018,Book,BOOK-019,,,2,Pre-order,Cancelled,2026-06-16T09:15:00-04:00,30.77,65.23,0.00,0,R-20260616-006
PUR-007,CUST-020,Merchandise,,MERCH-027,,1,In-store,Completed,2026-06-15T16:00:00-04:00,13.07,13.85,0.00,1,R-20260615-007
PUR-008,CUST-032,Event Ticket,,,EVENT-010,3,Pre-order,Cancelled,2026-08-01T16:15:00-04:00,0.00,-2.50,2.50,0,R-20260801-008
PUR-009,CUST-010,Book,BOOK-033,,,3,Pre-order,Pending,2026-07-06T15:30:00-04:00,13.51,37.96,5.00,0,R-20260706-009
PUR-010,CUST-018,Merchandise,,MERCH-019,,3,In-store,Completed,2026-08-15T18:45:00-04:00,9.54,30.34,0.00,3,R-20260815-010
PUR-011,CUST-029,Book,BOOK-023,,,2,In-store,Completed,2026-08-09T15:45:00-04:00,31.95,67.73,0.00,2,R-20260809-011
PUR-012,CUST-013,Event Ticket,,,EVENT-008,3,In-store,Completed,2026-07-23T09:30:00-04:00,5.00,13.40,2.50,3,R-20260723-012
PUR-013,CUST-025,Book,BOOK-010,,,2,Pre-order,Ready for Pickup,2026-08-04T18:30:00-04:00,31.93,67.69,0.00,0,R-20260804-013
PUR-014,CUST-029,Book,BOOK-030,,,1,Pre-order,Cancelled,2026-06-20T10:45:00-04:00,13.91,14.74,0.00,0,R-20260620-014
PUR-015,CUST-022,Merchandise,,MERCH-026,,3,In-store,Completed,2026-07-13T17:45:00-04:00,29.76,94.64,0.00,3,R-20260713-015
PUR-016,CUST-032,Event Ticket,,,EVENT-002,3,In-store,Completed,2026-07-07T12:00:00-04:00,12.00,35.66,2.50,3,R-20260707-016
PUR-017,CUST-007,Merchandise,,MERCH-007,,2,In-store,Completed,2026-07-09T09:00:00-04:00,17.09,36.23,0.00,2,R-20260709-017
PUR-018,CUST-004,Book,BOOK-024,,,2,In-store,Completed,2026-08-07T15:15:00-04:00,27.72,58.77,0.00,2,R-20260807-018
PUR-019,CUST-012,Book,BOOK-025,,,3,In-store,Completed,2026-08-03T18:15:00-04:00,34.96,111.17,0.00,3,R-20260803-019
PUR-020,CUST-030,Merchandise,,MERCH-030,,2,In-store,Completed,2026-07-30T13:15:00-04:00,22.61,47.93,0.00,2,R-20260730-020
PUR-021,CUST-029,Event Ticket,,,EVENT-010,3,Pre-order,Completed,2026-07-29T13:15:00-04:00,0.00,-2.50,2.50,3,R-20260729-021
PUR-022,CUST-031,Book,BOOK-025,,,3,In-store,Completed,2026-07-08T13:00:00-04:00,34.96,108.67,2.50,3,R-20260708-022
PUR-023,CUST-018,Book,BOOK-004,,,3,Pre-order,Completed,2026-06-30T18:30:00-04:00,26.82,85.29,0.00,3,R-20260630-023
PUR-024,CUST-013,Merchandise,,MERCH-009,,3,In-store,Completed,2026-06-06T13:45:00-04:00,32.50,103.35,0.00,3,R-20260606-024
PUR-025,CUST-024,Merchandise,,MERCH-006,,2,In-store,Completed,2026-07-24T11:15:00-04:00,9.71,20.59,0.00,2,R-20260724-025
PUR-026,CUST-035,Event Ticket,,,EVENT-012,3,In-store,Completed,2026-07-05T11:30:00-04:00,10.00,29.30,2.50,3,R-20260705-026
PUR-027,CUST-019,Merchandise,,MERCH-022,,1,In-store,Completed,2026-06-10T11:15:00-04:00,27.07,26.19,2.50,1,R-20260610-027
PUR-028,CUST-024,Book,BOOK-026,,,1,In-store,Completed,2026-06-16T16:30:00-04:00,22.63,23.99,0.00,1,R-20260616-028
PUR-029,CUST-025,Merchandise,,MERCH-024,,1,In-store,Completed,2026-07-31T09:30:00-04:00,21.43,17.72,5.00,1,R-20260731-029
PUR-030,CUST-015,Merchandise,,MERCH-030,,3,In-store,Completed,2026-07-23T10:15:00-04:00,22.61,71.90,0.00,3,R-20260723-030
PUR-031,CUST-003,Book,BOOK-032,,,1,In-store,Completed,2026-08-08T11:45:00-04:00,16.49,14.98,2.50,1,R-20260808-031
PUR-032,CUST-024,Merchandise,,MERCH-035,,2,In-store,Completed,2026-06-20T15:00:00-04:00,28.50,57.92,2.50,2,R-20260620-032
PUR-033,CUST-027,Event Ticket,,,EVENT-009,1,In-store,Completed,2026-06-28T16:45:00-04:00,0.00,0.00,0.00,1,R-20260628-033
PUR-034,CUST-024,Book,BOOK-024,,,3,Pre-order,Completed,2026-06-08T15:30:00-04:00,27.72,88.15,0.00,3,R-20260608-034
PUR-035,CUST-008,Event Ticket,,,EVENT-015,1,In-store,Completed,2026-08-16T09:00:00-04:00,0.00,0.00,0.00,1,R-20260816-035
