post_id,post_date,platform,related_type,book_id,event_id,caption_text
POST-001,2026-08-01,TikTok,Event,,EVENT-007,Mark your calendar for Local History Talk on 2026-10-11. See you there!
POST-002,2026-09-09,TikTok,Book,BOOK-015,,Staff pick of the week: The Forgotten Coastline. Come see why we can't stop recommending it.
POST-003,2026-07-19,Instagram,Book,BOOK-010,,New arrival alert: The Painted Cove just landed at Riverside Books.
POST-004,2026-09-08,X,Event,,EVENT-004,Mark your calendar for Cookbook Tasting: Salt Stars on 2026-12-25. See you there!
POST-005,2026-07-17,Instagram,Book,BOOK-016,,A quiet favorite: The Bright River. Now in stock at Riverside Books.
POST-006,2026-08-11,Instagram,Book,BOOK-004,,New arrival alert: The Restless Chapel just landed at Riverside Books.
POST-007,2026-08-23,Instagram,Event,,EVENT-016,Tickets are moving for Cookbook Tasting: The Hidden River — don't miss it on 2027-01-05.
POST-008,2026-08-16,Instagram,Book,BOOK-015,,A quiet favorite: The Forgotten Coastline. Now in stock at Riverside Books.
POST-009,2026-07-06,X,Book,BOOK-002,,"Some stories stay with you. Meet Forgotten Streets, on our shelves now."
POST-010,2026-08-31,Website,Book,BOOK-007,,Curling up with The Wandering Garden this weekend. What are you reading?
POST-011,2026-08-26,Instagram,Event,,EVENT-011,Mark your calendar for Local History Talk on 2027-02-08. See you there!
POST-012,2026-07-09,TikTok,Book,BOOK-021,,Curling up with The Library of Ink this weekend. What are you reading?
POST-013,2026-09-15,X,Book,BOOK-028,,"Some stories stay with you. Meet The Forgotten Kitchen, on our shelves now."
POST-014,2026-07-15,TikTok,Book,BOOK-015,,Curling up with The Forgotten Coastline this weekend. What are you reading?
POST-015,2026-08-13,Website,Book,BOOK-007,,Staff pick of the week: The Wandering Garden. Come see why we can't stop recommending it.
POST-016,2026-08-24,X,Event,,EVENT-012,Mark your calendar for Local History Talk on 2027-01-18. See you there!
POST-017,2026-08-30,Instagram,Book,BOOK-006,,"Some stories stay with you. Meet Distant Memory, on our shelves now."
POST-018,2026-08-25,Instagram,Event,,EVENT-012,Mark your calendar for Local History Talk on 2027-01-18. See you there!
POST-019,2026-09-10,Instagram,Book,BOOK-022,,"Some stories stay with you. Meet The Forgotten Coastline, on our shelves now."
POST-020,2026-08-22,X,Event,,EVENT-014,Mark your calendar for Book Club Discussion: Blue Shadows on 2027-01-31. See you there!
POST-021,2026-08-06,X,Book,BOOK-033,,New arrival alert: The Meadow of Letters just landed at Riverside Books.
POST-022,2026-07-20,Website,Book,BOOK-007,,Staff pick of the week: The Wandering Garden. Come see why we can't stop recommending it.
POST-023,2026-09-10,X,Book,BOOK-018,,A quiet favorite: Restless Rain. Now in stock at Riverside Books.
POST-024,2026-07-29,Website,Event,,EVENT-018,Mark your calendar for Author Reading: The Lighthouse of Wind on 2026-10-29. See you there!
POST-025,2026-08-04,Instagram,Book,BOOK-020,,Staff pick of the week: The Harbor of Dust. Come see why we can't stop recommending it.
POST-026,2026-08-14,Instagram,Book,BOOK-010,,A quiet favorite: The Painted Cove. Now in stock at Riverside Books.
POST-027,2026-08-21,Instagram,Book,BOOK-002,,"Some stories stay with you. Meet Forgotten Streets, on our shelves now."
POST-028,2026-09-06,TikTok,Book,BOOK-030,,Staff pick of the week: The Broken Chapel. Come see why we can't stop recommending it.
POST-029,2026-07-21,X,Book,BOOK-021,,A quiet favorite: The Library of Ink. Now in stock at Riverside Books.
POST-030,2026-09-15,Instagram,Event,,EVENT-005,Mark your calendar for Staff Picks Night on 2026-11-18. See you there!
POST-031,2026-07-07,Instagram,Book,BOOK-028,,Curling up with The Forgotten Kitchen this weekend. What are you reading?
POST-032,2026-08-26,Website,Book,BOOK-033,,"Some stories stay with you. Meet The Meadow of Letters, on our shelves now."
POST-033,2026-08-14,Website,Book,BOOK-032,,A quiet favorite: The Silent Market. Now in stock at Riverside Books.
POST-034,2026-08-09,Instagram,Book,BOOK-004,,"Some stories stay with you. Meet The Restless Chapel, on our shelves now."
POST-035,2026-07-27,X,Event,,EVENT-005,Tickets are moving for Staff Picks Night — don't miss it on 2026-11-18.
