item_id,item_name,item_type,price
MERCH-001,Riverside Books Canvas Tote,Gift,19.88
MERCH-002,Riverbank Wildflowers Card,Card,28.91
MERCH-003,Birthday Books Card,Card,25.14
MERCH-004,Reading Is A River Mug,Gift,33.12
MERCH-005,Paper & Pine Candle,Gift,26.72
MERCH-006,Enamel Bookworm Pin,Gift,9.71
MERCH-007,Linen Bookmark Set,Gift,17.09
MERCH-008,Thank You Notecard,Gift,33.39
MERCH-009,Get Well Soon Card,Card,32.50
MERCH-010,Congrats Grad Card,Card,23.13
MERCH-011,Cozy Reader Socks,Gift,24.40
MERCH-012,Leather Journal,Gift,7.43
MERCH-013,Pressed Flower Bookmark,Gift,31.85
MERCH-014,New Baby Card,Card,19.47
MERCH-015,Wedding Well Wishes Card,Card,24.51
MERCH-016,Riverside Tote (Mini),Gift,13.77
MERCH-017,Book Club Tumbler,Gift,25.46
MERCH-018,Sympathy Card,Card,20.96
MERCH-019,Anniversary Card,Card,9.54
MERCH-020,Sticker Sheet: Cozy Reads,Gift,24.45
MERCH-021,Holiday Greetings Card,Card,15.44
MERCH-022,Reader's Candle Duo,Gift,27.07
MERCH-023,Coffee & Pages Mug,Gift,8.98
MERCH-024,Thinking of You Card,Card,21.43
MERCH-025,Retirement Card,Card,16.29
MERCH-026,Housewarming Card,Card,29.76
MERCH-027,Baby Shower Card,Card,13.07
MERCH-028,Postcard Set: Riverside Scenes,Gift,10.12
MERCH-029,Tote Bag: Staff Picks,Gift,28.25
MERCH-030,Enamel Pin: Little Free Library,Gift,22.61
MERCH-031,Blank Notebook,Gift,13.65
MERCH-032,Congratulations Card,Card,17.42
MERCH-033,Pet Sympathy Card,Card,24.78
MERCH-034,Bookish Puzzle,Gift,19.60
MERCH-035,Riverside Mug (Second Edition),Gift,28.50
